DateTime,Biomass,Demand,Fossil,Nuclear,Solar,Wind
2021-01-01,113.15993999999999,920.231628125,517.806845,195.6154025,21.5564125,79.767715
2021-01-02,113.7983725,986.910055625,570.1132275,195.1009225,15.8459825,92.91347999999999
2021-01-03,113.4179425,1006.67675125,442.1114825,182.14249,6.6666775,440.4030725
2021-01-04,112.539105,1228.483919375,715.765355,181.6348425,5.3710875,387.6448425
2021-01-05,111.8633375,1257.987824375,787.5227725,187.5905375,5.970384999999999,366.1775475
2021-01-06,112.2644775,1205.8941306250001,819.6674925,195.0837725,7.1277975,218.1358475
2021-01-07,113.3024925,1278.69875,885.3410325,195.9016475,8.01,144.1628475
2021-01-08,113.22046,1260.12949125,897.8707125,195.691935,9.10816,120.01797
2021-01-09,113.1517425,1109.25865875,827.718055,193.6191075,15.32449,64.1713275
2021-01-10,113.326385,1081.4258425,688.17854,191.17464,28.502795,252.64170000000001
2021-01-11,111.33130750000001,1366.984033125,648.4876425,184.0281125,21.630885,673.00778
2021-01-12,111.4393325,1378.948464375,626.17393,183.809825,11.713772500000001,710.843175
2021-01-13,111.354555,1379.762020625,570.7938375,181.14594250000002,23.468787499999998,834.3225775
2021-01-14,112.3034775,1344.495135625,813.9074425,194.8235775,12.3513625,313.278
2021-01-15,113.01517,1318.5501075,905.6564,196.475515,22.0041625,160.989365
2021-01-16,113.228505,1158.52379125,788.13996,195.645135,14.8096575,175.9370125
2021-01-17,112.10167750000001,1095.226190625,739.5679525,195.65574,14.5028575,138.505035
2021-01-18,112.255825,1336.1243381250001,758.0120025,193.32565,11.54163,536.6604125
2021-01-19,111.4367575,1376.116305,605.19969,191.0372575,11.303025,799.22451
2021-01-20,111.27716,1358.726640625,465.618815,179.53779500000002,35.602075,884.325425
2021-01-21,111.10829,1354.85418375,398.29618,180.70591,42.3971575,936.74948
2021-01-22,111.70077,1306.656134375,595.997855,182.07109,39.1473575,628.484585
2021-01-23,112.1130675,1127.65567125,667.46511,194.2262825,23.204832500000002,234.1075925
2021-01-24,111.82347,1063.22908625,671.1933750000001,191.3161725,24.1909625,180.77818
2021-01-25,111.8581275,1314.304235625,883.51408,195.2645975,26.106935,150.8298
2021-01-26,112.030715,1359.814731875,849.10112,195.746145,22.362222499999998,346.4583625
2021-01-27,111.1485625,1365.8953575,845.188715,195.8080075,22.728535,333.4495775
2021-01-28,111.426605,1340.869985,805.83917,195.29784,14.901805,279.1620975
2021-01-29,112.1699925,1315.120503125,616.269285,193.9811975,29.530665,569.0498375
2021-01-30,111.504035,1128.22896125,587.9146775,195.8479725,23.33607,209.9822225
2021-01-31,112.6064475,1076.810895,553.91218,196.1016625,42.5740225,198.2564275
2021-02-01,112.78291,1308.28233375,783.98508,195.68279,27.50732,245.2818825
2021-02-02,111.9745675,1333.183875625,771.1246225,194.96582750000002,23.072445,252.26544
2021-02-03,111.807125,1344.410320625,600.4426025,193.457285,15.955427499999999,582.847505
2021-02-04,109.7369,1294.627703125,696.618145,177.5365475,62.24962,361.0926825
2021-02-05,113.25045,1274.708985,651.6688275,182.3859525,32.1095575,415.511265
2021-02-06,111.82268,1133.692945,348.64745,186.32829,21.8874025,720.84982
2021-02-07,110.59840249999999,1102.57916,332.0368225,176.4311575,15.424152499999998,777.0467175
2021-02-08,110.9558375,1325.37235875,696.6242675,188.80355,20.7658,505.0819525
2021-02-09,110.7725175,1371.434911875,856.7956925,194.63706000000002,11.387925,250.0279675
2021-02-10,110.534875,1380.62079375,879.2572575,196.08268750000002,14.218202499999999,223.4970625
2021-02-11,106.321285,1372.62489,879.7081025,196.0843925,28.696585,141.71187
2021-02-12,111.99175249999999,1356.770846875,822.7997124999999,196.14576,47.8631225,301.15181
2021-02-13,111.9271225,1189.21689125,734.0016674999999,196.3555875,62.38832,215.3077125
2021-02-14,111.71309,1140.648328125,566.2609125,195.35880500000002,73.4404175,391.779275
2021-02-15,111.384315,1367.5211912500001,695.5045,189.8730875,34.637025,566.0415675
2021-02-16,111.15212,1328.6692975,696.8453,192.219705,40.187,405.00207750000004
2021-02-17,111.250445,1329.23234125,551.3444975,193.41066750000002,61.1979125,598.0639675
2021-02-18,110.44310250000001,1312.542219375,511.7524325,189.6722025,96.277525,584.5865125
2021-02-19,105.1606975,1264.606189375,522.336015,183.2218025,108.516565,488.225205
2021-02-20,104.0893375,1078.04257375,281.0629625,189.574365,139.12349,506.00629
2021-02-21,103.4564975,988.210864375,311.599195,190.71485,153.56352,357.05857249999997
2021-02-22,103.0332275,1233.1920875,543.3765875,193.8519625,127.2265475,345.3211175
2021-02-23,102.89693749999999,1254.977209375,466.586365,192.4330125,127.7033775,420.62703
2021-02-24,106.783885,1255.80441875,397.364555,186.72661,146.14203,514.368685
2021-02-25,111.8419,1240.927245625,480.19883500000003,190.074365,156.66673,364.81586
2021-02-26,111.88923,1234.439298125,514.920625,192.9833025,94.3746625,325.110195
2021-02-27,111.6034925,1057.026280625,456.0310225,194.7335325,100.8048225,184.3488625
2021-02-28,110.8363425,997.742575,424.3859475,193.7467475,150.087675,131.46444
2021-03-01,110.7718075,1246.743004375,673.72347,194.8144225,143.10384249999998,95.47591
2021-03-02,110.3565825,1256.4097425,738.09258,194.5274125,175.32826,91.519245
2021-03-03,111.25703999999999,1271.749275625,762.7255575,194.4182375,121.4991025,154.6630525
2021-03-04,112.4625,1273.950948125,726.0995925,194.36898,73.129565,241.5217225
2021-03-05,113.2126175,1264.77012375,698.73485,195.25813250000002,114.7332475,180.0057475
